"","conMw1","conMw2","conMw3","conFw1","conFw2","conFw3","dietMw1","dietMw2","dietMw3","dietFw1","dietFw2","dietFw3","conMko1","conMko2","conMko3","conFko1","conFko2","conFko3","dietMko1","dietMko2","dietMko3","dietFko1","dietFko2","dietFko3"
"Gm13855",2.04180023215864,1.56955543373091,1.62190996246649,2.60559321337834,2.62799006817524,2.4548878224511,2.23092044555812,2.48168543973243,2.28834106578391,2.85091617358509,2.66290584664544,2.40303788538282,2.23698707644143,1.75088101432796,1.64206456254098,3.10607206700364,3.3332290416282,3.25146954795562,2.02314697873076,2.16277628853625,2.361444155896,2.50890300179977,2.2065493077862,4.373221813955
"Gm39079",6.9072953656019,6.70876975340463,6.82388713351911,6.48912730445217,7.31628318349045,6.7042951088852,8.28919986013669,8.450061769063,8.57133310194019,9.19206914052915,8.18663035171901,8.56520843768822,6.37062710030651,6.41892631951639,5.96204262656125,6.2899006603878,6.95751225759444,6.62264210511033,8.4414266905392,9.32990765851768,8.41049185196691,8.43620336387882,8.85555100587432,8.55420511564791
"Slc17a3",8.53887854816304,8.38501204082284,8.48667359599347,8.64203320030764,8.81720740176935,8.48598654481899,7.27364210020544,7.09085052187425,7.45587834725574,7.39586254671633,7.57301893609165,7.88663061889853,8.71555952422861,8.36310055430959,8.21904032658915,8.65102942147158,8.79207960235692,8.53819051970641,7.34291834407515,7.00221602947922,7.4393127273702,7.30681627234082,7.25440626566799,8.39847400529547
"9030619P08Rik",5.49740621394877,5.3103267091329,6.09830470360562,9.75365984304912,9.15923386648788,9.03458115417219,8.25723231819642,8.06119191394451,7.8029427675427,8.65171615013218,7.629050130379,8.59022913725843,5.35752292763634,5.29075393626506,5.20975213307084,9.50873706775666,9.33138932369041,9.77039212780941,7.45842337200661,8.34552265882078,8.2443359158217,8.70453802626141,8.61147413514814,8.84345424626925
"Psat1",3.74915038003747,3.32942130495378,3.39754112543295,3.02588164771329,3.02883989308157,3.69911194581212,5.00996848541742,4.75336987563399,4.20862466020557,5.104237855761,4.83118329762168,5.34214710284381,3.81220424189594,3.23365296834246,3.56996295540449,3.65719340412032,3.4735357738485,3.78583256735548,5.47269017943907,4.67164830702864,4.69615898860073,4.28645063032773,5.04429283051733,3.8675661534163
"Tm6sf2",7.92873053278159,7.66920498297048,7.83279439812475,8.47679420402764,8.89320142640937,9.00024484708381,8.86186661105191,9.5987766289743,9.18378317788639,9.08132307643949,8.85888480791962,9.24738516770475,7.74319881862304,8.20906414601702,8.8945084185831,9.2705949131585,9.2299250090067,9.3327643315074,8.85654182620069,8.59330003773935,9.587570773752,9.05804505413113,9.3445295997346,9.87249653540978
"Lin7a",7.56267734078196,7.70484643609612,7.77905281725983,7.55422825466843,8.01545832482732,7.8632340155382,6.58857523076615,6.78720327879657,6.4405368593655,6.71294690438961,6.93163860789265,6.93994354089762,7.57296615371483,7.56221153621309,7.72970873276012,7.98384733041333,7.87047002956137,7.66657018673966,6.4029381244047,6.32989656826754,6.89429832908514,6.8271281032416,6.66175827256936,7.45555065106164
"Slc22a7",8.8215495483641,8.55401743306654,8.38630168067303,7.65602361232251,8.23921376655543,7.70237984182518,6.12841784044569,6.62103806092314,6.15001014170627,5.91319928266375,5.02783763134412,5.55222322839835,8.32091844318288,8.70493275148896,8.18954823754083,6.98045142072939,7.58516155253425,7.46431113244861,5.99841243451594,6.23609885158587,6.46839594727691,5.85955021446348,5.53025490186929,5.10854418170894
"Gm2788",6.88175497096336,7.45962510879399,7.88756091378744,7.76050630627006,7.47686934726399,6.25657556402186,6.3967970011268,5.86574999643168,5.55828927947112,7.33069586684352,6.77996955922368,5.65301604855737,6.72816726135467,7.02942014386952,6.88953745365573,7.85436142179589,7.33756027498685,7.22004888356236,5.80166201839887,5.89390928885554,5.44779926317734,6.12614528777164,6.41849065392112,5.96194230370095
"Slc22a13b",2.34843061688039,2.94261434573965,3.09266246589184,3.89438976437266,4.37280964797338,4.08589841620296,2.73286294618455,3.44026652389578,3.05487059072713,2.72215573447782,3.59005716396793,2.83314095013277,2.50695924525413,3.17055729365031,2.58554794876398,3.37392069776002,2.28347660993028,3.02632810962347,3.03123340909274,3.08141360679258,3.17655970222691,3.30795340636404,2.81597582859226,2.48115059267905
"Tmem250-ps",4.90594537923501,5.04669391438309,4.14932940811161,3.9529344019172,4.23281501395962,4.6967856896875,3.83002236502799,4.40275879183798,3.50282022204249,5.71230996657416,5.02402846773712,5.04631287673576,3.95129623274744,4.37280964797338,4.1708658931503,4.98528369007693,4.55206878409931,4.83789149502002,3.99140050630744,4.58135197421084,4.94754837149581,4.26786919582017,4.48293978284872,4.82362004235938
"Pgm3",7.17854803961195,6.88249579567922,6.76890959419657,6.31335317617188,6.91569381383181,6.09680675711876,8.03611250943,8.23973514897591,7.6289361323028,8.04181677886461,8.05023006111026,7.59714023364412,6.79537437113341,6.69947981003629,6.53787495214271,6.58336016665528,6.69448026975964,6.63844613217981,8.08582918647508,7.73753248903717,8.22403257363034,7.8038281835832,7.72062565584469,7.72166618313037
"Glo1",10.2307798165773,10.2804794044616,10.2580159395983,10.1352803893362,9.87224803227037,9.65643667595387,9.29234081783379,9.10743031117105,9.2453600197405,9.18348067806201,9.41991844161235,8.98326153587492,10.2794324662006,10.0062163503104,9.92849080765176,10.0383814975611,9.77751568268873,9.79728444232683,9.01607110363152,9.0671506140391,8.9511743416608,9.20495995705202,8.89383848629476,9.19724610307016
"Abr",4.36801369403938,4.46105262781036,4.55435212359704,4.64512110802094,5.07268174401572,4.61648057015898,5.69141056877548,5.64196126848543,5.05304924005527,5.94279042509045,5.39497400079763,5.82640168097028,4.58380774030552,4.5562460719462,4.73819192001242,4.62866146565505,5.06229265158178,4.75144706027796,6.02873660125655,5.78741743688989,5.27849722839384,6.02887966385758,5.47100985496563,5.29251603709326
"Pgd",7.06263564175172,7.38443389442296,7.45901785838613,7.41267946129814,8.71358263699277,8.14182628137397,8.72085602996741,9.00813845820139,8.24215477401441,8.34945794820099,7.93615058941131,8.26914989562648,7.63136431661741,7.22161751954819,7.37683832731347,7.89276883506776,7.87809598677472,8.36776688461353,9.0052062951782,8.60675130347878,8.67016675122109,8.39714771025214,8.31617809012286,7.68390235433482
"C8b",11.616356696236,11.7755488693881,11.7930063259323,9.68786206944976,10.2273517090001,9.51877586825196,10.1189996799953,10.1726285169511,9.93362565185626,9.15781380381957,9.32806531689818,9.18635267625853,11.7318832085585,11.7618161684368,11.7307471819429,9.44322940596295,8.81373705015118,10.0679703896858,9.89883998869258,9.92246586357018,10.0224158705994,9.51434321854811,9.20549292249423,9.05574308910806
"D17H6S56E-5",5.68317390744329,5.76727153357362,5.65995870989765,5.22329898409052,5.46359451828326,6.15490989461241,6.73607603940721,6.83696129746527,6.6524253266678,6.67517158368178,6.92673134825731,6.86445253123003,5.33873995973526,5.49940732455529,5.82494448763393,5.76145352980623,5.87958178645264,5.67114705438938,6.62068611552008,6.81300708495937,6.80031209537091,6.98385170184193,6.14976036108986,5.75712182659114
"Lyve1",5.60251949785923,5.84359234077767,6.13256891196216,6.7800402182963,7.04533181720045,6.87162260519029,6.96148952830417,6.74158260217613,6.80851956293658,7.54512713203801,6.83451781776025,7.33650280950892,5.9268435373535,5.89516698208271,6.18640488660428,6.60505745244141,5.9314968889726,6.11589144841221,7.21187050653246,6.52804203520331,6.71051968169722,7.01953038977729,6.94786818627098,6.71221956815953
"Pawr",5.04706366061062,5.01607418417779,5.46504178396101,5.66158160349545,6.04187314322531,5.51529661040003,6.69842710336541,6.44539189111064,5.88085501742238,6.31308927727341,6.35936827691349,6.51635116167354,5.26757843334492,5.68795352803543,4.67337146870506,5.55788505283529,5.09616682208807,5.40982214520992,6.59268471556235,6.3736091657989,6.43249146871115,6.36360599987496,6.34408653014809,6.11126548071193
"Cygb",6.96431393588135,7.03022155317537,7.22612223197513,7.27022613623909,7.51947232396677,7.19267981124312,8.33969823568481,8.23853271459873,7.82659589915691,8.38460944427775,8.32152041583862,8.42812698538529,7.05998037432252,6.96284019379101,6.84217751855958,7.39627302480743,7.46350070932063,7.66059098213153,8.52493979476094,8.13052244818462,8.33704906560486,8.46994369892234,7.73869099464055,7.81921893070267
"Alas2",6.31641661596988,6.14959100230031,8.17727640130457,5.31899718243313,5.66116385899508,4.98355839673071,5.86636442485791,6.84492402848388,6.95233805078555,6.52368920063388,6.21063419368609,6.0900414635982,8.31920924705302,7.95208698160845,7.5286973470803,5.45745327305343,6.39961350691179,5.1795443243482,6.89403409305169,6.00696332957481,6.70291997338126,6.14896554794275,5.7673985436206,6.4011004404037
"Aldh3a2",8.86121945948486,8.13724894564772,9.00404988135771,9.55091568944001,9.65730089058679,9.58491356510211,9.30181963990879,9.20337990164791,9.73064983617544,9.76459742876072,10.0343932006503,9.75410432245991,9.00355037994668,8.04152217574524,7.41777825763253,9.65320497072243,10.3852659923194,9.67244822938642,9.20338603570477,8.77913832342523,9.23347939392013,9.81326751970571,9.91896402973395,9.59833003254398
"Pnpla3",3.89687039104745,4.67950230849068,4.26721670015314,5.49349287484113,7.20593004363741,5.97993659650008,4.18900392467117,4.01000992876154,4.26154564221743,3.84444862140304,3.80412674659085,4.1780215774104,4.43634649413347,4.01087320105148,4.6365739574225,6.70501283351638,5.35088980997396,6.89544590143728,3.96043891532432,4.2369141983625,3.76697548990423,4.16301703551987,4.15319615838449,4.25420535086512
"A1bg",3.46727313330534,3.53884119108381,3.17495328419659,9.37749105543992,9.42013495549901,8.44507333732217,4.14933846145088,3.49110993174904,4.7603827740592,9.03622034714926,7.41485611097046,7.93758644406606,3.56482414072297,3.70456606510719,3.81305029081355,10.8297157230698,11.3224412719553,9.86803365891838,3.52725569263214,3.86556417718336,4.10567227167966,9.43755745011882,9.81505306969072,9.68466543917954
"Apoa4",11.3696598364922,11.3431489259891,11.1481772523819,11.3962708716702,11.2476757425616,11.090463625376,12.7792973724801,12.7794221982661,12.6276728134669,12.672277001525,12.8958555193012,12.6671167435137,11.386507997828,10.4111179688018,10.8127471761019,11.0160188950807,11.9823290762702,11.9744993070923,12.8603746764027,12.9830571771409,12.8945979130313,12.8074531289548,12.7947042686465,12.0283986016611
"App",7.87001149034932,7.94300270450721,7.84043872707431,7.94529032798764,8.39759083563489,8.50602828749348,9.1787472486784,9.43445146061745,8.96417278211064,9.22623506247332,9.42757179459095,9.63446019567626,7.86746025079774,7.68252417514889,7.6072824609885,8.48211587033244,8.26584073416952,8.08546336542775,9.86824429064399,9.4393663166678,9.36031470715399,9.3178079585811,9.1924523736901,8.81758123877782
"Aqp4",6.71208098398395,6.03394331914669,6.19254396504854,4.92355672752996,5.40730540418993,5.51711615299681,7.87634344860113,7.89592215420979,7.72268056880677,7.8987100769863,7.69481536464,8.16383720527449,5.82090985365643,5.16090357737495,5.17220907917804,5.23474909529874,6.22822496667075,5.58865175470372,7.71470242928008,7.4576793552372,8.05393850962241,8.14853631275195,8.06107768828103,8.14114390232063
"Aqp8",6.33601920540167,6.97934624172959,6.6184356070994,7.91819506355459,8.10516708416006,7.5772561670153,7.39688177954455,7.24651915751041,6.55030473351006,7.42516200951068,6.84479132744817,6.67286637343024,6.27956700577687,6.48293806319053,5.67125280425649,7.54769331562894,7.3925098037018,7.75376552353674,7.32254226056175,6.77723874217026,7.10725531808382,7.00122299328629,7.26801701375452,6.45055809114978
"Ar",5.17868633801948,5.04619610768107,4.97446407187951,6.98864158540265,7.1116423205195,5.78086675871344,5.52984637712416,5.16627007942436,4.24497679333198,6.41747380776416,5.77162572667429,5.61196857497738,4.96314563600702,5.25339948179577,4.34236745444015,6.29643626995416,6.8524254284801,6.12995545979454,4.90796561014906,4.56334533530173,4.93238166357951,5.20334514665453,5.68510104909158,6.14845521355486
"Rhod",6.04876789518165,6.11235388556872,6.35680601901154,6.5824314956501,6.17362272763798,6.58555335748582,7.46486550075204,7.29076256465613,7.19567136968759,7.79521982443227,7.01665461779667,7.19902158133874,6.40760515987026,5.97907671574595,6.12872514661397,6.54950053477014,6.29393285041955,6.75087116955071,7.40556297566464,7.76388295950132,7.00459552889309,7.32334728451966,7.572301994094,6.8107612732868
"Art2b",2.67531833580195,1.55622197353149,1.46467029843214,4.30336561421767,4.69176119353086,2.86247415891118,2.27338350981992,2.42429408178077,1.89694912124744,3.50470790059826,2.37670106542691,2.6532753852874,1.2654718604103,2.34429542930496,1.9653561115129,3.870684291924,2.49469061945673,2.11512291261232,2.76866719867926,1.75957888262052,1.98674183431225,1.97158960873895,2.97239872941489,2.70929296939581
